set,id,before,after,infinitive,correct,level
1,3,Cada semana yo,las {noticias|news} de los {periódicos|newspapers}.,comparar,comparo,A2
1,4,Los estudiantes,el autobús para {venir|to come} al {colegio|school}. ,utilizar,utilizan,A2
1,5,Ustedes siempre,con la {tarjeta de crédito|credit card}. ,pagar,pagan,A2
2,1,Mi {tía|aunt} ,a su {hermana|sister} muy {a menudo|often}.,visitar,visita ,A2
2,2,Vosotros ,la {cartera|wallet} demasiadas {veces|times}.,olvidar,olvidáis,A2
2,3,Nosotros,un {campo|field} de fútbol más {grande|big}.,necesitar,necesitamos,A2
2,4,Mis {compañeras|colleagues},su {almuerzo|lunch} {conmigo|with me}.,compartir,comparten,A2
2,5,Nuestro {equipo|tema} ,las {luces|lights} cuando acaba el {entrenamiento|training}. ,apagar,apaga,A2
3,1,Si tú ,"bien, sí puedes {aprobar|to pass} la clase de arte. ",dibujar,dibujas,A2
3,2,Yo te,a ti aquí e Inés y Luis vienen {más tarde|later}. ,esperar,espero,A2
3,3,Siempre ,a {trabajar|to work} a las ocho. ,entrar,entro,A2
3,4,Este {examen|test} es tuyo y la {maestra|teacher} lo,.,evaluar,evalúa,A2
3,5,Eres muy {egoísta|selfish} y nunca,nada. ,compartir,compartes,A2
4,1,Está muy {contento|happy} e,a todos a una fiesta. ,invitar,invita,A2
4,2,Cuando,"la {cena|dinner}, {escucho|listen} música. ",cocinar,cocino,A2
4,3,Desde hace tiempo no,la {flauta|flute}.,tocar,toco,A2
4,4,Esta {lavadora|washing machine} mia,muy mal la {ropa|clothes}. ,lavar,lava,A2
4,5,{Mañana|tomorrow},bien la {ruta|route} para el domingo. ,mirar,miro,A2
5,1,Antonio y Pablo ,{tantas|as many} patatas como pueden. ,pelar,pelan,A2
5,2,,que los niños quieren {helado|ice-cream} de chocolate. ,sospechar,sospecho,A2
5,3,Primero {como|to eat} y luego ,una hora. ,pasear,paseo,A2
5,4,Os ,hacer la ensalada. ,tocar,toca,A2
5,5,Los {jugadores|players},todo seguido de la {mañana|morning} a la noche. ,entrenar,entrenan,A2
6,1,Todos los días,una {palabra|word} nueva. ,memorizar,memorizo,A2
6,2,Ahora vosotros,por este {callejón|alley} hasta el final. ,caminar,camináis,A2
6,3,Siempre ,leche con {galletas|cookies} {antes|before} de ir a dormir. ,tomar,tomo,A2
6,4,Hace frío y por eso ,las {mantas|bankets}. ,sacar,saco,A2
6,5,Vosotros,la {comida|food} a las siete u ocho. ,recoger,recogéis,A2
1,1,El doctor,a todos los {pacientes|patients} antes de las diez. ,visitar,visita,B1
1,2,"Vale, ",media hora y después vamos al cine. ,pasear,paseamos,B1
1,3,Si,", te digo una cosa. ",vencer,vences,B1
1,4,{Nunca|never},con nadie de este tema. ,hablar,habla,B1
1,5,"Cuando nos conocimos, ",{inmediatamente|inmediately}. ,conectar,conectamos,B1
2,1,"Es una {pena|pitty}, ",todos los dias al fútbol pero no {mejoro|to improve}. ,entrenar,entreno,B1
2,2,"No {aprobó|to pass} el examen, probablemente porque",mucho a clase. ,faltar,falta,B1
2,3,Es tan {claro|clear} que,muy bien el piano. ,tocar,toca,B1
2,4,Durante las clases siempre,notas en mi {cuaderno|notebook}. ,tomar,tomo,B1
2,5,El profesor al que {saludaste|to greet},a menudo a Asia. ,viajar,viaja,B1
3,1,"Mientras están sentados,",todos los vídeos. ,grabar,grabamos,B1
3,2,O ,"los dos, o ninguno, somos un equipo. ",cantar,cantamos,B1
3,3,Si,"la carta, será porque quiere noticias. ",enviar,envía,B1
3,4,Este grupo de cocineros,{estofados|stews} muy ricos. ,guisar,guisa,B1
3,5,"Es su cumpleaños, lo",al empezar la reunión. ,felicitar,felicitamos,B1
4,1,,con el departamento de recursos humanos cada semana. ,hablar,hablo,B1
4,2,No,dónde hay mayor cantidad de gente. ,calcular,calculo,B1
4,3,De la fiesta,sobre todo bebidas. ,sobrar,sobran,B1
4,4,Todos los chicos,estar sentados muchas horas. ,soportar,soportan,B1
4,5,"Estoy muy cansado, así que ",la comida. ,encargar,encargo,B1
5,1,El jefe tiene mal carácter y,de todos. ,desconfiar,desconfía,B1
5,2,El guía,{bastante|quite} barato por la ruta. ,cobrar,cobra,B1
5,3,"Hay muy poca gente, sin embargo",con el espectáculo. ,continuar,continuamos,B1
5,4,No {presta atención|to pay attention} y además,todo el tiempo en su teléfono. ,chatear,chatea,B1
5,5,Nosotros ,tanto lo tuyo como lo suyo. ,aceptar,aceptamos,B1
6,1,Luis,un montón de gente al partido. ,llevar,lleva,B1
6,2,Si,", será porque se ha hecho daño. ",llorar,llora,B1
6,3,Viven en las afueras pero,en la ciudad. ,trabajar,trabajan,B1
6,4,Está de médico en Ciudad Real y allí,para cirujano. ,estudiar,estudia,B1
6,5,"No es que no les guste el mercado, es que",tomates en su finca. ,cultivar,cultivan,B1
