set,id,before,after,infinitive,correct,level
5,5,Tú,de todo.,quejarse,te quejas,A2
6,1,Ustedes,de nuestro {cumpleaños|birthday}.,acordarse,se acuerdan,A2
6,2,Yo,{a veces|sometimes}.,equivocarse,me equivoco,A2
6,3,Ella,{antes|before} de salir.,maquillarse,se maquilla,A2
6,4,Nosotros,{cada|every} mes.,reunirse,nos reunimos,A2
6,5,Vosotros,sin {razón|reason}.,preocuparse,os preocupáis,A2
7,1,Vosotros siempre,de los {chistes|jokes} más {graciosos|funny}.,acordarse,os acordáis,A2
7,2,Mi hermana y yo,por la {salud|health} de la profesora. ,interesarse,nos interesamos,A2
7,3,Tú,en los {details|detalles} más {extraños|strange}. ,fijarse,te fijas,A2
7,4,Los jugadores,para {ganar|win} el {partido|game}.,esforzarse,se esfuerzan,A2
7,5,"Sí, yo ",en la {siguiente|next} {parada|stop}. ,bajarse,me bajo,A2
8,1,Estos niños,{siempre|always} en el {recreo|recess}. ,pelearse,se pelean,A2
8,2,El gato,{después|after} de cada {siesta|nap}. ,estirarse,se estira,A2
8,3,La niña ,la {ropa|clothes} ella sola. ,ponerse,se pone,A2
8,4,Vosotros,{frecuentemente|often} en el {bosque|forest}. ,perderse,os perdéis,A2
8,5,Ustedes nunca,de {persona|person}. ,confundirse,se confunden,A2
1,1,Su {hijo|son},en la universidad este año. ,graduarse,se gradúa,B1
1,2,Vosotros,en estos {sillones|couches}.,relajarse,os relajáis,B1
1,3,El coche,siempre cuando estamos de vacaciones. ,romperse,se rompe,B1
1,4,Siempre,de traer juegos de mesa de vuestra casa. ,acordarse,os acordáis,B1
1,5,Este florero,con el aire de la ventana. ,caerse,se cae,B1
2,1,Los primos de Manuel,muy bien. ,caerse,se caen,B1
2,2,Este número,siempre cuando estoy en casa. ,llamarse,me llama,B1
2,3,Los niños,de sitio a mitad de curso. ,cambiarse,se cambian,B1
2,4,,muy bien en las verbenas del pueblo. ,pasarse,me lo paso,B1
2,5,Nunca cocinan porque,un dedo con facilidad. ,cortarse,se cortan,B1
3,1,Al venir ,del tren cuando veáis la estación de Ferrol. ,bajarse,os bajáis,B1
3,2,Cuando estés en la página web,el programa de la lista. ,descargarse,te descargas,B1
3,3,Vosotros,de la {lluvia|rain} en la {tienda de campaña|camping tent}.,refugiarse,os refugiáis,B1
3,4,Esta noche,en casa con tus hermanos. ,quedarse,te quedas,B1
3,5,Antes de la reunión,a todos los asistentes. ,presentarse,te presentas,B1
4,1,,enfermo al empezar el campamento. ,ponerse,se pone,B1
4,2,La niña,mucho a su padre. ,parecerse,se parece,B1
4,3,,mal que nunca me regales nada. ,parecer ,me parece,B1
4,4,Tiene un gran sentido del humor y ,mucho. ,reirse,se ríe,B1
4,5,Pronto,de vacaciones a la playa. ,irse,me voy,B1
