set,id,before,after,word,translation,level
5,1,En el tramo,de la carretera se puede se puede acelerar. ,recto,straight,B2
5,2,Nos dijo que tenía bronquitis,y no podía venir. ,aguda,severe,B2
5,3,El editor hizo una crítica,de mi libro. ,sincera,sincere,B2
5,4,Cada día debe tomar una dosis,de vitaminas. ,mínima,minimum,B2
5,5,Siempre ha tenido un pelo,y brillante. ,sano,healthy,B2
6,1,Tenía que mandar toda información por carta,.,certificada,certified,B2
6,2,La fruta estaba en muy ,condiciones después de todo el día al sol. ,malas,bad,B2
6,3,Recibió algunos masajes,durante el viaje. ,relajantes,relaxing,B2
6,4,Por suerte no era una enfermedad demasiado,.,grave,serious,B2
6,5,Antes de las carreras siempre hacía una comida,.,ligera,light,B2
