set,id,before,after,infinitive,correct,level
2,4,Vosotros,"que lo sabéis todo, pero estáis {equivocados|wrong}. ",suponer,suponéis,B1
2,5,Dicen que los humanos,dos veces con la misma piedra. ,tropezar,tropiezan,B1
3,1,Si,"usando la misma contraseña, vas a tener problemas. ",seguir,sigues,B1
3,2,Sus hijos ,a la clases práctica y teórica. ,venir,vienen,B1
3,3,"Tienes que ir a la {farmacia|pharmacy}, y allí ",un antibiótico. ,pedir,pides,B1
3,4,"Hoy está {nublado|cloudy}, así que yo no",las flores del jardín. ,regar,riego,B1
3,5,Las flores de estos árboles frutales,muy bien. ,oler,huelen,B1
4,1,Paula y tú,de viaje a una zona de clima muy húmedo. ,ir,vais,B1
4,2,Las chicas,el carril bici nuevo en la calle principal. ,probar,prueban,B1
4,3,"En vuestro viaje, si","por el casco histórico, {aprenderéis|to learn} mucho. ",andar,andáis,B1
4,4,Sus hijos cada día,más en la clase de alemán. ,entender,entienden,B1
4,5,La maestra ,las luces del jardín de infancia cada mañana. ,encender,enciende,B1
5,1,"Para proteger a las {gallinas|chicken}, cada noche los granjeros las",.,encerrar,encierran,B1
5,2,"Es increíble lo que haces, siempre ",lo que va a decir. ,predecir,predices,B1
5,3,Tú seguramente ,mucho por las noches porque estás cansado. ,soñar,sueñas,B1
5,4,Sus padres,mañana  para hacerse un análisis de sangre. ,volver,vuelven,B1
5,5,"Cuando llegan tarde, siempre",perdón. ,pedir,piden,B1
6,1,El texto está en italiano y yo lo,al español. ,traducir,traduzco,B1
6,2,"Estoy lista, en unos minutos ",mi {trabajo|work} delante de toda la clase. ,exponer,expongo,B1
6,3,A {principios|beginning} de verano yo siempre,la ropa de invierno en el baúl. ,poner,pongo,B1
6,4,Cuando van al mercado,llevar su bolsa de la compra. ,soler,suelen,B1
6,5,Yo,que sabrá quiénes somos. ,suponer,supongo,B1
7,1,Al fin lo ,a {entender|to understand}. ,empezar,empiezo,B1
7,2,Según tú ,"a flores, yo no lo creo. ",oler,hueles,B1
7,3,Cuando te miro,sobre todo {felicidad|happiness}. ,sentir,siento,B1
7,4,Mientras,"el regalo, yo hago la tarta. ",envolver,envuelves,B1
7,5,Estoy {seguro|sure} de que lo que,es verdad. ,decir,digo,B1
8,1,Los cocineros,las patatas antes de la cena. ,cocer,cuecen,B1
8,2,,"un avión, pero no estoy seguro, no lo veo bien. ",parecer,parece,B1
8,3,¿Con quién,el martes de Barcelona?,volver,vuelves,B1
8,4,Supongo que el camarero,a todas las mesas. ,servir,sirve,B1
8,5,Si,"un poco, sabrás la solución. ",pensar,piensas,B1
9,1,Seguramente no,", pero es una historia difícil de {creer|to believe}. ",mentir,mientes,B1
9,2,Ahora es cuando,las sillas al {fondo|back}. ,mover,movéis,B1
9,3,,todos en el coche menos yo. ,caber,cabéis,B1
9,4,,tus {citas|dates} realmente mal. ,elegir,eliges,B1
9,5,A lo mejor,abejas con el olor de la miel. ,atraer,atraéis,B1
10,1,No sabía que,tan temprano en esta región. ,anochecer,anochece,B1
10,1,Al llegar de viaje ,yo todo el {equipaje|baggage}. ,recoger,recojo,B1
10,2,Ana es un desastre y siempre,la tienda tarde. ,cerrar,cierra,B1
10,3,"Si te apetece, ",la montaña por la {ladera norte|north side}. ,descender,descendemos,B1
10,4,Todos los veranos,turismo en una ciudad europea. ,hacer,hacemos,B1
10,5,En este hotel ,servicio de habitaciones. ,haber,hay,B1
11,2,,muy bien la ciudad y no necesito el mapa. ,conocer,conozco,B1
11,3,¿,aquel viaje a Marruecos?,recordar,recuerdas,B1
11,4,"No me gusta, ",más de un metro. ,medir,mide,B1
11,5,¿Qué película,ganas de ver?,tener,tienes,B1
12,1,Le,mucha {vergüenza|embarrassment} hablar en público. ,dar,da,B1
12,2,Estoy impresionado con cómo,durante las {tormentas|storms}. ,llover,llueve,B1
12,3,¿,"bajar el volumen de la televión, por favor? Lo tienen muy alto. ",poder,pueden,B1
12,4,"No sé, es que ",el {suelo|floor} justo a esta hora. ,fregar,friegan,B1
13,5,,las flores para que la casa esté alegre. ,cuidar,cuida,B1
1,1,Si uno de vosotros,"el {botón|button}, el {acensor|lift} subirá. ",apretar,aprieta,B2
1,2,Si,"el suelo, usa por favor esta fregona. ",fregar,friegas,B2
1,3,Para ir a trabajar desde mi casa cada mañana,por la carretera comarcal. ,conducir,conduzco,B2
1,4,La ventana está rota por lo que Isabel,la {cerradura|lock} para abrirla. ,forzar,fuerza,B2
1,5,En el ejército los soldados,su país. ,defender,defienden,B2
