set,id,before,after,word,translation,level
1,1,Está tan {contento|happy} que,a todos a la fiesta. ,invitará,to invite,B2
1,2,Cuando lleguéis ya,toda la cena. ,habré cocinado,to cook,B2
1,3,No,la flauta nunca más. ,tocaré,to play,B2
1,4,Supongo que,las toallas cuando acabe de limpiar. ,lavará ,to wash,B2
1,5,"De acuerdo, ",el contrato cuando llegue a casa y os digo. ,miraré,to look,B2
2,1,Antonio y Pablo ,por lo menos cuatro kilos de patatas. ,habrán pelado,to peel,B2
2,2,"Ha llamado Juan, ¿",que le hemos preparado una fiesta sorpresa?,habrá sospechado,to suspect,B2
2,3,Ya,cuando estemos en la casa de campo. ,pasearé,to walk,B2
2,4,¡Le,"sacar la basura mañana, digo yo!",tocará ,to be someone's turn,B2
2,5,La semana que viene los chicos,por la mañana. ,entrenarán,to train,B2
3,1,"Lo recuerdo todo, ¿cómo",tantas cosas?,habré memorizado,to memorize ,B2
3,2,"Tenéis cara de cansados, ¿",demasiado?,habréis caminado,to walk,B2
3,3,Por supuesto que ,"leche con galletas, es mi comida favorita. ",tomaré,to take,B2
3,4,Pues claro que,"al perro esta noche, me toca a mí. ",sacaré,to take out,B2
3,5,"Traéis muchas bolsas, ¡qué",!,habréis recogido,to pick up,B2
4,1,Ya,el doctor a tu padre cuando pueda. ,visitará,to visit,B2
4,2,El programa dice que,por el campo todos los días después de comer. ,pasearemos,to walk,B2
4,3,"De todos modos, ",a la exposición por si alguien compra algo. ,acudirás,to attend,B2
4,4,Para cuando llegue el juez ya,.,habrá hablado,to talk,B2
4,5,"Cuando esté en Argentina, ",todos los días por telellamada. ,conectaremos,to connect,B2
5,1,No sé si,"mañana, me duele la articulación. ",entrenaré,to train,B2
5,2,Lucía,varios días a clase para entrenar para el mundial. ,faltará,to miss,B2
5,3,"Viene en el autobús con la guitarra, ",en algún concierto. ,habrá tocado,to play,B2
5,4,En la próxima reunión,notas en el cuaderno para no olvidarme de nada. ,tomaré,to take,B2
5,5,"No le da la gana, no",con sus padres este verano. ,viajará,to travel,B2
6,1,Lo,"de todas formas, es un podcast interesante. ",grabaremos,to record,B2
6,2,Me temo que ,"en su boda, no sé por qué nos lo han pedido. ",cantaremos,to sing,B2
6,3,Pues claro que ,"la carta, es muy responsable. ",enviará,to send,B2
6,4,"De media, este cocinero",al menos 100 estofados. ,habrá guisado,to cook,B2
6,5,Me parece que le,con una tarjeta original. ,felicitaremos,to wish happy birthday,B2
7,1,"Por supuesto, ",con la maestra esta tarde. ,hablaré,to speak,B2
7,2,"Bueno, ",cuánto hemos gastado y te pagaré. ,calcularé,to estimate,B2
7,3,"Ahí están los restos, ",sobrado unas veinte botellas. ,habrán sobrado,to be left over,B2
7,4,Sus abuelos no,"el calor, es mejor que se queden en casa. ",soportarán,to bear,B2
7,5,"Estoy muy cansado, así que luego",la comida. ,encargaré,to order,B2
8,1,"Acabará el juicio, pero él",durante todo el proceso. ,habrá desconfiado,to distrust,B2
8,2,Han decidido que durante el primer mes,poco por las cervezas. ,cobrarán,to charge,B2
8,3,"A pesar del mal servicio, ",comprando en ese supermercado. ,continuaremos,to carry on,B2
8,4,"Ya sabía lo que había pasado, me imagino que ",con ella por teléfono. ,habrá chateado,to chat,B2
8,5,Me imagino que cuando lleguéis ya,los términos. ,habremos aceptado,to accept,B2
9,1,"Aunque está prohibido, ",dulces para comer en el cine. ,llevará,to bring,B2
9,2,Ya,cuando vea este desastre. ,llorará,to cry,B2
9,3,,demasiado y por eso no viene. ,habrán trabajado,to work,B2
9,4,Me temo que ,matemáticas hasta muy tarde esta noche. ,estudiará,to study,B2
9,5,"A finales de septiembre, ",al menos 50 kilos de tomates. ,habrán cultivado,to grow,B2
