set,id,before,after,hint,correct,translation,level
2,3,La clase de chino es igual de,que la de japonés. ,difícil,difícil,difficult,B1
2,4,Le dijeron que su {alimentación|diet} debe ser,. ,sano,sana,healthy,B1
2,5,El vino tenía un sabor muy,y no lo bebí. ,desagradable,desagradable,disgusting,B1
3,1,Vivían en un {caserón|big house},donde hacía mucho frío. ,enorme,enorme,huge,B1
3,2,Creo que es un ,perro cuando duerme. ,bueno,buen,good,B1
3,3,Compra yogures,", por favor. ",natural,naturales,plain,B1
3,4,En agosto se {celebran|to clebrate} las fiestas,de su pueblo. ,popular,populares,popular,B1
3,5,Pedro y Sara son los más,del equipo. ,rápido,rápidos,fast,B1
4,1,Tenían bastentes animales,en la {granja|farm}. ,doméstico,domésticos,domestic,B1
4,2,"Me gusta estudiar {idiomas|languages}, sobre todo inglés",.,antiguo,antiguo,old,B1
4,3,El agua de la {fuente|fountain} tenía un,"sabor, por lo que no bebimos. ",malo,mal,bad,B1
4,4,Viven en una zona de clima muy,.,húmedo,húmedo,humid,B1
4,5,La {mayoría|most} de los niños prefería la comida,.,salado,salada,salty,B1
5,1,El sábado celebraron una boda,en el ayuntamiento. ,civil,civil,non-religious wedding,B1
5,2,Este grupo de turistas alemanes es muy,.,activo,activo,active,B1
5,3,Mi,{pensamiento|thought} fue salir corriendo. ,primero,primer,first,B1
5,4,Para,"{seguridad|safety}, hay que ponerse el cinturón.",mayor,mayor,greater,B1
5,5,Había un {montón|pile} grande de bolsas,a la puerta del {albergue|hostel}. ,reciclado,recicladas,recycled,B1
6,1,Toda su vida ha tenido,suerte. ,bueno,buena,good,B1
6,2,El pequeño era el menos,del grupo.,hábil,hábil,skilled,B1
6,3,La hija de Marisa es de carácter,.,fuerte,fuerte,strong,B1
6,4,Ganó al fin en la ,partida de {ajedrez|chess}. ,tercero,tercera,third,B1
6,5,Ayer visitamos el casco,de Toledo. ,histórico,histórico,historical,B1
1,1,Después de la ,crisis nada fue igual. ,grande,gran,big,B2
1,2,Laura volvió tan,"de su viaje, que nos invitó a todos a cenar. ",feliz,feliz,happy,B2
1,3,Era un aula grande y además muy,.,decorado,decorada,decorated,B2
1,4,Los primeros años vivieron en la ciudad,.,universitario,universitaria,University,B2
1,5,Lo más,de la película fue el final. ,interesante,interesante,interesting,B2
2,1,A la hora de la siesta siempre ponían música,.,infantil,infantil,children's,B2
2,2,Beltrán es más,de lo que me imaginaba. ,alto,alto,tall,B2
2,3,Con el movimiento del tren las abuelas dormían,.,tranquilo,tranquilas,calm,B2
2,4,El campo de fútbol,está muy bien conservado. ,municipal,municipal,local,B2
2,5,Durante el viaje me di cuenta de que es un país muy,.,cosmopolita,cosmopolita,cosmopolitan,B2
3,1,Para su cumpleaños quería un reloj,.,digital,digital,digital,B2
3,2,Las reuniones,le parecían muy aburridas. ,familiar,familiares,familiar,B2
3,3,Dijeron que solo querían invitar a familiares,a la boda. ,cercano,cercanos,close,B2
3,4,En clase tenemos que aprender la lista de animales,de la zona. ,terrestre,terrestres,land,B2
3,5,Tras horas de trabajo dejó el jardín,.,impecable,impecable,flawless,B2
4,1,Sus tíos viven cerca de la zona,al Oeste de la ciudad. ,ajardinado,ajardinada,landscaped,B2
4,2,La empresa vende productos,de puerta a puerta. ,congelado,congelados,frozen,B2
4,3,Esa zona del país es de clima,.,suave,suave,mild,B2
4,4,Los días,le inspiraban para hacer fotos. ,otoñal,otoñales,autumn,B2
4,5,Debido a su enfermedad solo puede comer pan,.,integral,integral,wholegrain,B2
5,1,Tenemos que recoger flores,para el herbario. ,silvestre,silvestres,wild,B2
5,2,Lo,de vivir aquí son los parques cercanos. ,bueno,bueno,good,B2
5,3,Con estas temperaturas,debemos salir de paseo. ,primaveral,primaverales,spring-like,B2
5,4,En todas las fuentes de la ruta el agua era,.,potable,potable,drinkable,B2
5,5,Mis sobrinas ya viven,en el centro de la ciudad. ,solo,solas,by themselves,B2
6,1,Toda la costa es zona,y está muy protegida. ,virgen,virgen,untouched,B2
6,2,Es importante que conservemos el medio,.,ambiente,ambiente,environment,B2
6,3,Ana y Lucas van a una escuela,.,bilingüe,bilingüe,bilingual,B2
6,4,Ayer tuve que llevar a mi perro a la clínica,.,veterinario,veterinaria,vet,B2
6,5,Sus maestros siempre dijeron que era una alumna,.,brillante,brillante,brilliant,B2
