set,id,before,after,infinitive,correct,translation,level
4,5,La maestra ,las luces del jardín de infancia cada mañana. ,encender,enciende,to turn on,B1
5,1,"Para proteger a las {gallinas|chicken}, cada noche las",.,encerrar,encierran,to enclose,B1
5,2,"Es increíble lo que haces, siempre ",lo que va a decir. ,predecir,predices,to predict,B1
5,3,Tú seguramente ,mucho por las noches porque estás cansado. ,soñar,sueñas,to dream,B1
5,4,Sus padres,mañana  para hacerse un análisis de sangre. ,volver,vuelven,to come back,B1
5,5,"Cuando llegan tarde, siempre",perdón. ,pedir,piden,to apologize,B1
6,1,El texto está en italiano y yo lo,al español. ,traducir,traduzco,to translate,B1
6,2,"Estoy lista, en unos minutos ",mi {trabajo|work} delante de toda la clase. ,exponer,expongo,to present,B1
6,3,A {principios|beginning} de verano yo siempre,la ropa de invierno en el baúl. ,poner,pongo,to place,B1
6,4,Cuando van al mercado,llevar su bolsa de la compra. ,soler,suelen,to use to,B1
6,5,Yo,que sabrá quiénes somos. ,suponer,supongo,to suposse,B1
1,1,Si uno de vosotros,"el {botón|button}, el {acensor|lift} subirá. ",apretar,aprieta,to press,B2
1,2,Si,"el suelo, usa por favor esta fregona. ",fregar,friegas,to mop,B2
1,3,Para ir a trabajar desde mi casa cada mañana,por la carretera comarcal. ,conducir,conduzco,to drive,B2
1,4,La ventana está rota por lo que Isabel,la {cerradura|lock} para abrirla. ,forzar,fuerza,to force,B2
1,5,En el ejército los soldados,su país. ,defender,defienden,to defend,B2
