set,id,before,after,hint,gender,number,correct,level
4,5,Su padre es una persona,y amable. ,generoso,singular,femenino,generosa,A2
5,1,Mateo hizo unos {dibujos|drawings},en la clase de arte. ,precioso,plural,masculino,preciosos,A2
5,2,Estos {senderos|paths} son,que los de ayer. ,mejor,plural,masculino,mejores,A2
5,3,Este {tema|theme} es más ,que el tema de ayer. ,sencillo,singular,femenino,sencillo,A2
5,4,Esta {bebida|beverage} es,fría que caliente. ,peor,singular,femenino,peor ,A2
5,5,Ellos viven ahora en una {ciudad|citty} muy,.,industrial,singular,femenino,industrial,A2
6,1,Había unas veinte {flores|flowers},en el jardín. ,amarillo,plural,femenino,amarillas,A2
6,2,Su {jefa|boss} era una {arquitecta|architect} muy,.,exigente,singular,femenino,exigente,A2
6,3,No me gustan nada las {comidas|foods},.,pesado,plural,femenino,pesadas,A2
6,4,Las {hojas|leaves} de estos árboles son,en la {parte alta|upper part}. ,mayor,plural,femenino,mayores,A2
6,5,Este {palo|stick} es menos,que este otro. ,resistente,singular,masculino,resistente,A2
7,1,El {pasillo|hallway} ,está {oscuro|dark}.,largo,singular,masculino,largo,A2
7,2,La {cocina|stove},de mi casa es nueva.,eléctrico,singular,femenino,eléctrica,A2
7,3,Guarda tus {monedas|coins},en el {monedero|wallet}. ,pesado,plural,femenino,pesadas,A2
7,4,Las {toallas|towels},están usadas. ,mojado,plural,femenino,mojadas,A2
7,5,Su {mochila|backpack},,grande,singular,femenino,grande,A2
8,1,El {perro|dog} ,{pasea|to walk} por el {parque|park}.,marrón,singular,masculino,marrón,A2
8,2,La {manzana|apple},está muy {rica|tasty}. ,verde,singular,femenino,verde,A2
8,3,Ayer hicimos los exámenes,.,difícil,plural,masculino,difíciles,A2
8,4,Paseamos por el pueblo,.,tranquilo,singular,masculino,tranquilo,A2
8,5,La {comida|food} de la {cantina|cafeteria},es {deliciosa|delicious}.,nuevo,singular,femenino,nueva,A2
9,1,No puedo {subir|to bring up} la {cesta|basket},.,pesado,singular,femenino,pesada,A2
9,2,El {olivo|olive tree} ,tiene muchas {aceitunas|olives}. ,viejo,singular,masculino,viejo,A2
9,3,El {bosque|forest},es perfecto para {pasear|to walk},frondoso,singular,masculino,frondoso,A2
9,4,El chocolate,es muy {dulce|sweet}. ,blanco,singular,masculino,blanco,A2
9,5,La {tarta|cake} ,es para mi {cumpleaños|brithday}.,decorado,singular,femenino,decorada,A2
10,1,Las {estrellas|stars},son mis favoritas.,brillante,plural,femenino,brillantes,A2
10,2,El {problema|problem} ,está ya {resuelto|solved}.,principal,singular,masculino,principal,A2
10,3,Tenía problemas con la {mano|hand},.,izquierdo,singular,femenino,izquierda,A2
10,4,La {gobernadora|governor} es una persona,.,agradable,singular,femenino,agradable,A2
10,5,Para su {cumpleaños|birthday} quiere {pasteles|cakes},.,dulce,plural,masculino,dulces,A2
11,1,Los {jabalíes|wild boars},me dan miedo. ,negro,plural,masculino,negros,A2
11,2,Física es mi {asignatura|subject},.,pendiente,singular,femenino,pendiente,A2
11,3,Estas {serpientes|snake} son tan,como las otras. ,feo,plural,femenino,feas,A2
11,4,Los {pantalones|pants},me gustan. ,largo,plural,masculino,largos,A2
11,5,Estas {gafas|glasses} son ,que estas otras. ,peor,plural,femenino,peores,A2
12,1,Los {hijos|children},están {de viaje|on a trip}. ,mayor,plural,masculino,mayores,A2
12,2,El {artista|artist} ,está en la ciudad. ,famoso,singular,masculino,famoso,A2
12,3,La {princesa|princess} {nada|swim} en el agua,.,caliente,singular,femenino,caliente,A2
12,4,La maestra,era buena con los {alumnos|students}. ,exigente,singular,femenino,exigente,A2
12,5,La {hija|daugther},estudia Medicina. ,menor,singular,femenino,menor,A2
1,1,Cuando viajo me gusta comer las comidas,del país. ,tradicional,plural,femenino,tradicionales,B1
1,2,"Tienes que poner el {lavavajillas|dishwasher}, los platos",están en el {fregadero|sink}. ,sucio,plural,masculino,sucios,B1
1,3,El {partido|mathc} de ayer fue un ,partido.,grande,singular,masculino,gran,B1
1,4,Manuel tuvo muy ,{actitud|attitude} durante el partido. ,malo,singular,femenino,mala,B1
1,5,Aquellas fueron las ,{tormentas|storms} de mi vida. ,peor,plural,femenino,peores,B1
2,1,{Aliñó|dress} la ensalada con ese vinagre,que no gustaba a nadie. ,agrio,singular,masculino,agrio,B1
2,2,Llegó del {campamento|camp} con las {rodillas|knees},.,magullado,plural,femenino,magulladas,B1
2,3,La clase de chino es igual de,que la de japonés. ,difícil,singular,femenino,difícil,B1
2,4,Le dijeron que su {alimentación|diet} debe ser,. ,sano,singular,femenino,sana,B1
2,5,El vino tenía un sabor muy,y no lo bebí. ,desagradable,singular,masculino,desagradable,B1
3,1,Vivían en un {caserón|big house},donde hacía mucho frío. ,enorme,singular,masculino,enorme,B1
3,2,Creo que es un ,perro cuando duerme. ,bueno,singular,masculino,buen,B1
3,3,Compra yogures,", por favor. ",natural,plural,masculino,naturales,B1
3,4,En agosto se {celebran|to clebrate} las fiestas,de su pueblo. ,popular,plural,femenino,populares,B1
3,5,Pedro y Sara son los más,del equipo. ,rápido,plural,masculino,rapidos,B1
4,1,Tenían bastentes animales,en la {granja|farm}. ,doméstico,plural,masculino,domésticos,B1
4,2,"Me gusta estudiar {idiomas|languages}, sobre todo inglés",.,antiguo,singular,masculino,antiguo,B1
4,3,El agua de la {fuente|fountain} tenía un,"sabor, por lo que no bebimos. ",malo,singular,masculino,mal,B1
4,4,Viven en una zona de clima muy,.,húmedo,singular,masculino,húmedo,B1
4,5,La {mayoria|most} de los niños prefería la comida,.,salado,singular,femenino,salada,B1
5,1,El sábado celebraron una boda,en el ayuntamiento. ,civil,singular,femenino,civil,B1
5,2,Este grupo de turistas alemanes es muy,.,activo,singular,masculino,activo,B1
5,3,Mi,{pensamiento|thought} fue salir corriendo. ,primero,singular,masculino,primer,B1
5,4,Para,"{seguridad|safety}, hay que ponerse el cinturón.",mayor,singular,femenino,mayor,B1
5,5,Había un {montón|pile} grande de bolsas,a la puerta del {albergue|hostel}. ,reciclado,plural,femenino,recicladas,B1
6,1,Toda su vida ha tenido,suerte. ,bueno,singular,femenino,buena,B1
6,2,El pequeño era el menos,del grupo.,hábil,singular,masculino,hábil,B1
6,3,La hija de Marisa es de carácter,.,fuerte,singular,femenino,fuerte,B1
6,4,Ganó al fin en la ,partida de {ajedrez|chess}. ,tercero,singular,femenino,tercera,B1
6,5,Ayer visitamos el casco,de Toledo. ,histórico,singular,masculino,histórico,B1
7,1,Dijeron que haría,{tiempo|weather} {mañana|tomorrow}. ,malo,singular,masculino,mal,B1
7,2,Fue el ,récord que {conseguía|to get}. ,primer,singular,masculino,primer,B1
7,3,Mi {primo|cousin} vive en el {piso|apartment},.,tercero,singular,masculino,tercero,B1
7,4,Ayer hizo un {tiempo|weather} muy,.,malo,singular,masculino,malo,B1
7,5,Me contó un {chiste|joke},{anoche|last night}. ,buenísimo,singular,masculino,buenísimo,B1
8,1,Luis es el {alumno|student} más,de la clase.,avanzado,singular,masculino,avanzado,B1
8,2,Ella era una {persona|person} de ,{corazón|heart}. ,grande,singular,femenino,gran,B1
8,3,Este vestido necesita zapatos,.,marrón,plural,masculino,marrones,B1
8,4,Siempre tiene,{intenciones|intentions}. ,bueno,plural,femenino,buenas,B1
8,5,Los {alumnos|students} ,salen un {día antes|previous day}. ,mayor,plural,masculino,mayores,B1
9,1,¿Tienes,silla extra para dejarme?,alguno,singular,femenino,alguna,B1
9,2,Hoy es el ,día de mi {vida|life}. ,mejor,singular,masculino,mejor,B1
9,3,Por favor {préstame|to lend} un libro,.,cualquier,singular,masculino,cualquiera,B1
9,4,Había {al menos|at least},personas en el {concierto|concert}. ,cien,singular,femenino,cien,B1
9,5,Es un ,{colegio|school} y a Carla le gusta. ,bueno,singular,masculino,buen,B1
10,1,Era una persona {bastante|quite},.,desagradable,singular,femenino,desagradable,B1
10,2,La {pastilla del jabón|bar soap},era de color rosa. ,oloroso,singular,femenino,oloroso,B1
10,3,Me vale con ,{lapicero|pencil}. ,cualquier,singular,masculino,cualquier,B1
10,4,La ,atleta ganó la {carrera|race}. ,mejor,singular,femenino,mejor,B1
10,5,Compra un {pan|bread},.,cualquier,singular,masculino,cualquiera,B1
11,1,La {libreta|notebook},es la mía. ,verde,singular,femenino,verde,B1
11,2,Gabriel era el menos,del {programa|program}. ,motivado,singular,masculino,motivado,B1
11,3,El director de la {fábrica|factory} siempre tiene una {palabra|word},.,amable,singular,masculino,amable,B1
11,4,La {rana|frog},es {venenosa|poisonous}. ,macho,singular,femenino,macho,B1
11,5,Por favor trae el {limón|lemon},que está en la {cesta|basket}. ,amarillo,singular,masculino,amarillo,B1
12,1,Dijeron que no había,problema.,ninguno,singular,masculino,ningún,B1
12,2,Ayer compramos un {helado|ice cream},.,riquísimo,singular,masculino,riquísimo,B1
12,3,Me {aseguraron|to guarantee} que no tenían problema,.,ninguno,singular,masculino,ninguno,B1
12,4,Sirven la {leche fresca|fresh milk} en un vaso,.,largo,singular,masculino,largo,B1
12,5,Creo que,balón puede {servir|help}. ,alguno,singular,masculino,algún,B1
1,1,Después de la ,crisis nada fue igual. ,grande,singular,femenino,gran,B2
1,2,Laura volvió tan,"de su viaje, que nos invitó a todos a cenar. ",feliz,singular,femenino,feliz,B2
1,3,Era un aula grande y además muy,.,decorado,singular,femenino,decorada,B2
1,4,Los primeros años vivieron en la ciudad,.,universitario,singular,femenino,universitaria,B2
1,5,Lo más,de la película fue el final. ,interesante,singular,masculino,interesante,B2
2,1,A la hora de la siesta siempre ponían música,.,infantil,singular,femenino,infantil,B2
2,2,Beltrán es más,de lo que me imaginaba. ,alto,singular,masculino,alto,B2
2,3,Con el movimiento del tren las abuelas dormían,.,tranquilo,plural,femenino,tranquilas,B2
2,4,El campo de fútbol,está muy bien conservado. ,municipal,singular,masculino,municipal,B2
2,5,Durante el viaje me di cuenta de que es un país muy,.,cosmopolita,singular,masculino,cosmopolita,B2
3,1,Para su cumpleaños quería un reloj,.,digital,singular,masculino,digital,B2
3,2,Las reuniones,le parecían muy aburridas. ,familiar,plural,femenino,familiares,B2
3,3,Dijeron que solo querían invitar a familiares,a la boda. ,cercano,plural,masculino,cercanos,B2
3,4,En clase tenemos que aprender la lista de animales,de la zona. ,terrestre,plural,masculino,terrestres,B2
3,5,Tras horas de trabajo dejó el jardín,.,impecable,singular,masculino,impecable,B2
4,1,Sus tíos viven cerca de la zona,al Oeste de la ciudad. ,ajardinado,singular,femenino,ajardinada,B2
4,2,La empresa vende productos,de puerta a puerta. ,congelado,plural,masculino,congelados,B2
4,3,Esa zona del país es de clima,.,suave,singular,masculino,suave,B2
4,4,Los días,le inspiraban para hacer fotos. ,otoñal,plural,masculino,otoñales,B2
4,5,Debido a su enfermedad solo puede comer pan,.,integral,singular,masculino,integral,B2
5,1,Tenemos que recoger flores,para el herbario. ,silvestre,plural,femenino,silvestres,B2
5,2,Lo,de vivir aquí son los parques cercanos. ,bueno,singular,masculino,bueno,B2
5,3,Cone estas temperaturas,debemos salir de paseo. ,primaveral,plural,femenino,primaverales,B2
5,4,En todas las fuentes de la ruta el agua era,.,potable,singular,femenino,potable,B2
5,5,Mis sobrinas ya viven,en el centro de la ciudad. ,solo,plural,femenino,solas,B2
6,1,Toda la costa es zona,y está muy protegida. ,virgen,singular,femenino,virgen,B2
6,2,Es importante que conservemos el medio,.,ambiente,singular,masculino,ambiente,B2
6,3,Ana y Lucas van a una escuela,.,bilingüe,singular,femenino,bilingüe,B2
6,4,Ayer tuve que llevar a mi perro a la clínica,.,veterinario,singular,femenino,veterinaria,B2
6,5,Sus maestros siempre dijeron que era una alumna,.,brillante,singular,femenino,brillante,B2
7,1,En el teatro había un {público|audience} de ,pasión y dedicación. ,grande,singular,femenino,gran,B2
7,2,Tenemos un ,problema con la {máquina|machine}. ,grave,singular,masculino,grave,B2
7,3,Manuel resultó ser un hombre,.,hipócrita,singular,masculino,hipócrita,B2
7,4,Tenemos que llevar esa manta,.,amarillento,singular,femenino,amarillenta,B2
7,5,"Aquel tipo era alto,",.,alto,singular,masculino,alto,B2
8,1,Acudió mucha gente a la función,de teatro. ,matinal,singular,femenino,matinal,B2
8,2,Las mariposas volaban sobre el florero,en el jardín. ,perdido,singular,masculino,perdido,B2
8,3,Su padre era una persona de pasión y dedicación,.,grande,plural,femenino,grandes,B2
8,4,Su padre es escritor de novela,.,negro,singular,femenino,negra,B2
8,5,Era una casa con muchas ventanas y con una puerta,.,grande,singular,femenino,grande,B2
9,1,Los cálculos del análisis genético son muy,.,bueno,plural,masculino,buenos,B2
9,2,Desde que nació ha recibido mucho cariño,.,maternal,singular,masculino,maternal,B2
9,3,He decidido comprar un,vino y champán. ,bueno,singular,masculino,buen,B2
9,4,Por la noche soplaba un viento,.,helador,singular,masculino,helador,B2
9,5,El virus en ocasiones es,.,bueno,singular,masculino,bueno,B2
10,1,Cuando acelera el coche siente vibraciones,.,fuerte,plural,femenino,fuertes,B2
10,2,La inspección ,nos pilló desprevenidos. ,pasado,singular,femenino,pasada,B2
10,3,El estilo ,de la ciudad es vanguardista. ,arquitectónico,singular,masculino,arquitectónico,B2
10,4,Se lesionó el pie en un bache,.,profundo,singular,masculino,profundo,B2
10,5,Debido a la compra,va a pagar a plazos. ,precipitado,singular,femenino,precipitada,B2
11,1,En el tramo,de la carretera se puede se puede acelerar. ,recto,singular,masculino,recto,B2
11,2,Nos dijo que tenía bronquitis,y no podía venir. ,agudo,singular,femenino,aguda,B2
11,3,El editor hizo una crítica,de mi libro. ,sincero,singular,femenino,sincera,B2
11,4,Cada día debe tomar una dosis,de vitaminas. ,mínimo,singular,femenino,mínima,B2
11,5,Siempre ha tenido un pelo,y brillante. ,sano,singular,masculino,sano,B2
12,1,Tenía que mandar toda información por carta,.,certificado,singular,femenino,certificada,B2
12,2,La fruta estaba en muy ,condiciones después de todo el día al sol. ,malo,plural,femenino,malas,B2
12,3,Recibió algunos masajes,durante el viaje. ,relajante,plural,masculino,relajantes,B2
12,4,Por suerte no era una enfermedad demasiado,.,grave,singular,femenino,grave,B2
12,5,Antes de las carreras siempre hacía una comida,.,ligero,singular,femenino,ligera,B2
