set,id,before,after,tense,correct,level
1,2,,jugando y por eso no oyeron el teléfono. ,condicional simple,estarían,B2
1,3,"Antes de la {boda|wedding}, nosotros ya",juntos diez años.,pretérito pluscuamperfecto,habíamos estado,B2
1,4,Cuando llegues ya,preparados para que nos recojas. ,futuro,estaremos,B2
1,5,"En esas circunstancias, yo no ",tan {segura|sure}.,condicional compuesto,habría estado,B2
2,1,Lo pones aquí y ,atento a la señal. ,presente,estás,B2
2,2,,las diez de la noche cuando oímos la puerta del garaje. ,condicional,serían,B2
2,3,"Ayer, cuando {llegamos|arrived}, ellos ya",en el hotel.,pretérito pluscuamperfecto,habían estado,B2
2,4,Al llegar él,recibido con honores. ,futuro,será,B2
2,5,Mientras yo,"en el supermercado, se ha ido la luz.",pretérito imperfecto,estaba,B2
3,1,El puente,construido por los romanos.,pretérito indefinido,fue,B2
3,2,"Cuando llegamos, la cena ya",preparada.,pretérito imperfecto,estaba,B2
3,3,Mi tío,"muy {listo|clever}, siempre tiene una solución.",presente,es,B2
3,4,"Si todo sale bien, mañana",listos para viajar.,futuro,estaremos,B2
3,5,De joven mi abuelo,{capaz|capable} de correr una maratón.,pretérito imperfecto,era,B2
4,1,No,tan cansados si hubiésemos comido antes. ,pretérito pluscuamperfecto,habríamos estado,B2
4,2,Los zapatos,de oferta la semana que viene. ,futuro,estarán,B2
4,3,Creo que (tú),capaz de llegar {a tiempo|on time}. ,presente,eres,B2
4,4,Nunca (vosotros),conscientes de lo que habéis hecho. ,futuro,seréis,B2
4,5,Creí que todos vosotros,muy motivados para el examen.,pretérito imperfecto,estábais,B2
