set,id,before,after,infinitive,correct,translation,level
5,5,Todos ellos,si llegarán {a tiempo|on time} a la {reunión|meeting}. ,dudar,dudan,to doubt,A2
6,1,Cuando Pilar ,"{manzanas|apples} en el {horno|oven}, huele muy bien. ",asar,asa,to bake,A2
6,2,Yo no ,que hoy vaya a haber {tormenta|storm}. ,creer,creo,to think,A2
6,3,La madre siempre,a su hijo {antes|before} de ir a dormir. ,besar,besa,to kiss,A2
6,4,Los invitados,a Amelia por su {cumpleaños|birthday}. ,felicitar,felicitan,to wish happy birthday,A2
6,5,Vosotros,problemas siempre hasta el {final|end}. ,buscar,buscáis,to look for,A2
1,1,"Vale, nosotros podemos buscaros y vosotros ",que todo salga bien. ,asegurar,aseguráis,to make sure of,B1
1,2,Si,"pronto, podéis venir con nosotros. ",cenar,cenáis,to eat dinner,B1
1,3,"Te {apetece|to have desite to do something} venir, yo compro la comida y tú",las distintas opciones. ,explorar,exploras,to explore,B1
1,4,"No me gusta, lo veo muy {oscuro|dark}, mejor si tú lo",por mí. ,pintar,pintas,to paint,B1
1,5,"Hace atletismo desde que era niño, ",todas las tardes. ,entrenar,entrena ,to train,B1
2,1,"Es una {pena|pitty} que no vengan, porque ",siempre muy bien {ambiente|atmosphere}. ,crear,crean,to create,B1
2,2,"Los yogures están {caducados|expired}, aunque ellos los",sin problema. ,comer,comen,to eat,B1
2,3,"Probablemente nosotros no vayamos, nosotros dos",que debemos quedarnos en casa. ,considerar,consideramos,to think,B1
2,4,El chico a quien saludaste,por sus {conocimientos|knowledge} de matemáticas. ,destacar,destaca,to stand out,B1
2,5,Su marido está muy {resfriado|to have a cold} y ,no salir de casa. ,procurar,procura,to try,B1
3,1,"Ninguno de ellos está {preparados|ready}, siempre",lo que tienen que hacer. ,procrastinar,procrastinan,to procrastinate,B1
3,2,"Si ustedes toman notas en clase, ",su forma de aprender. ,mejorar,mejoran,to improve,B1
3,3,"En {resumen|summary}, Mario y yo ",todos los nudos de la cuerda. ,desatar,desatamos,to untie,B1
3,4,Este grupo de alumnos,muy bien la doble r. ,pronunciar,pronuncia,to pronounce,B1
3,5,Es increíble cómo ,Laura en el escenario. ,cantar,canta,to sing,B1
4,1,Podéis pedir dos aguas pero no es {bebida|drink} suficiente.  Ellos,más botellas por el camino.,coger,cogen,to take,B1
4,2,"En mi trabajo preparo {reuniones|meetings}, pero sobre todo",documentos. ,escanear,escaneo,to scan,B1
4,3,"Estoy sentado muchas horas, por eso cuando puedo",para caminar en la montaña.,escapar,escapo,to escape,B1
4,4,El carril bici ,el uso de la bicicleta en la ciudad. ,fomentar,fomenta,to encourage,B1
4,5,"Debido a su mal carácter, Luis",mucho. ,gruñir,gruñe,to grunt,B1
5,1,Los guías del museo,las visitas muy bien. ,planificar,planifican,to plan,B1
5,2,"Es su cumpleaños, {sin embargo|however} no",de trabajar ni un segundo. ,parar,para,to stop,B1
5,3,Lo sabemos y además,lo mismo que vosotros. ,pensar,pensamos,to think,B1
5,4,El mío y el tuyo ,a los mosquitos muy bien. ,repeler,repelen,to repel,B1
5,5,Ahora {envolvemos|to wrap} tu regalo y nosotros te lo ,.,llevar,llevamos,to bring,B1
6,1,Mis colegas y yo ,nosotros mismos los programas en el ordenador. ,instalar,instalamos,to install,B1
6,2,Ahora Mónica y yo,"en las afueras, así estamos más cerca del campo. ",vivir,vivimos,to live,B1
6,3,La {agrupación|group} de sindicatos ,la información para ayudarnos. ,usar,usa,to use,B1
6,4,Le,"muchas cosas, es que me cae bien. ",regalar,regalo,to give a present,B1
6,5,Las bailarinas del Ballet Nacional ,en cada actuación. ,sorprender,sorprenden,to astonish,B1
